# radiocam one-lane build sweep
# rate_mbps  link_freq  pixel_rate  fps       max_fps{num,den}
       625  312500000    62500000   9.5517  {40896,390625}
       640  320000000    64000000   9.7809  {639,6250}
       650  325000000    65000000   9.9337  {20448,203125}
       660  330000000    66000000  10.0866  {3408,34375}
       680  340000000    68000000  10.3922  {5112,53125}
       700  350000000    70000000  10.6979  {10224,109375}
       720  360000000    72000000  11.0035  {284,3125}
       740  370000000    74000000  11.3092  {10224,115625}
       748  374000000    74800000  11.4314  {10224,116875}
       750  375000000    75000000  11.4620  {6816,78125}
       760  380000000    76000000  11.6148  {5112,59375}
       800  400000000    80000000  12.2261  {1278,15625}
       840  420000000    84000000  12.8374  {1704,21875}
       850  425000000    85000000  12.9903  {20448,265625}
       880  440000000    88000000  13.4487  {2556,34375}
       900  450000000    90000000  13.7544  {1136,15625}
       920  460000000    92000000  14.0601  {5112,71875}
       950  475000000    95000000  14.5185  {20448,296875}
       960  480000000    96000000  14.6714  {213,3125}
       980  490000000    98000000  14.9770  {10224,153125}
      1000  500000000   100000000  15.2827  {5112,78125}
